sample,signif,r
sample_477,0.998002,-0.01700574 
sample_478,0.2637363,0.002416965 
sample_479,0.8761239,-0.003757273 
sample_480,0.999001,-0.008132412 
sample_481,0.9360639,-0.005209776 
sample_482,0.975025,-0.005628208 
sample_483,0.99001,-0.006899837 
sample_484,0.999001,-0.009451654 
sample_485,1,-0.01621711 
sample_486,0.999001,-0.01221401 
sample_487,0.998002,-0.009990944 
sample_488,0.996004,-0.008965411 
sample_489,1,-0.0118463 
sample_490,0.998002,-0.01008351 
sample_491,1,-0.01116135 
sample_492,0.998002,-0.01446874 
sample_493,0.9040959,-0.003974904 
sample_494,0.997003,-0.01113992 
sample_495,0.993007,-0.01410541 
sample_496,0.4685315,-0.001002717 
sample_497,0.999001,-0.01138731 
sample_498,0.1628372,0.003418201 
sample_499,0.9120879,-0.006386604 
sample_500,0.5974026,-0.001480702 
sample_501,0.99001,-0.008273922 
sample_502,0.7952048,-0.00623544 
sample_503,0.7612388,-0.003342776 
sample_504,0.9140859,-0.004914277 
sample_505,0.7712288,-0.004745697 
sample_506,0.98002,-0.009217707 
sample_507,1,-0.01595971 
sample_508,0.998002,-0.009849607 
sample_509,0.989011,-0.0149882 
sample_510,0.8351648,-0.003953248 
sample_511,0.8511489,-0.003557243 
sample_512,1,-0.02789558 
sample_513,0.997003,-0.009664687 
sample_514,0.994006,-0.008259728 
sample_515,0.984016,-0.007560601 
sample_516,0.7602398,-0.003532787 
sample_517,0.7652348,-0.004516688 
sample_518,0.997003,-0.007224864 
sample_519,0.3926074,0.0003533511 
sample_520,0.7862138,-0.006482202 
sample_521,0.6553447,-0.004089777 
sample_522,0.998002,-0.0122954 
sample_523,0.982018,-0.005467592 
sample_524,1,-0.01342568 
sample_525,1,-0.01418205 
sample_526,0.997003,-0.01063838 
sample_527,0.2677323,0.002375341 
sample_528,0.8731269,-0.004342577 
sample_529,0.974026,-0.009593255 
sample_530,0.995005,-0.01034878 
sample_531,0.999001,-0.008514093 
sample_532,1,-0.01219339 
sample_533,0.994006,-0.009895097 
sample_534,0.4655345,-0.0002045594 
sample_535,0.2957043,0.001298199 
sample_536,0.4935065,-0.001108148 
sample_537,0.5594406,-0.001385852 
sample_538,1,-0.0115876 
sample_539,0.998002,-0.0086069 
sample_540,0.998002,-0.01743354 
sample_541,0.968032,-0.008561153 
sample_542,0.9410589,-0.004689598 
sample_543,0.9450549,-0.00625316 
sample_544,1,-0.02028956 
sample_545,0.7282717,-0.002846764 
sample_546,0.997003,-0.01213547 
sample_547,0.7092907,-0.002713411 
sample_548,1,-0.01325465 
sample_549,0.8271728,-0.004603436 
sample_550,0.8251748,-0.004439083 
sample_551,0.5754246,-0.001891274 
sample_552,0.994006,-0.007219062 
sample_553,0.6693307,-0.002320948 
sample_554,0.4545455,-0.0003259688 
sample_555,0.967033,-0.008082492 
sample_556,0.988012,-0.008271569 
sample_557,0.999001,-0.009946717 
sample_558,1,-0.01761732 
sample_559,0.999001,-0.01723603 
sample_560,0.975025,-0.008182614 
sample_561,0.973027,-0.01320384 
sample_562,1,-0.02301011 
sample_563,1,-0.0270852 
sample_564,1,-0.03141275 
sample_565,1,-0.02050308 
sample_566,1,-0.02475469 
sample_567,1,-0.02029299 
sample_568,1,-0.02795464 
sample_569,1,-0.01228114 
sample_570,1,-0.04105339 
sample_571,0.993007,-0.02016674 
sample_572,1,-0.02386767 
sample_573,0.999001,-0.01796949 
sample_574,0.959041,-0.01172775 
sample_575,1,-0.04946634 
sample_576,1,-0.02400688 
sample_577,0.993007,-0.01625981 
sample_578,1,-0.02351208 
sample_579,0.995005,-0.01438193 
sample_580,1,-0.03828285 
sample_581,1,-0.02515387 
sample_582,1,-0.03116013 
sample_583,1,-0.02302129 
sample_584,1,-0.03391695 
sample_585,1,-0.01772535 
sample_586,1,-0.03112863 
sample_587,1,-0.02757891 
sample_588,1,-0.03603518 
sample_589,1,-0.02900747 
sample_590,1,-0.02053275 
sample_591,1,-0.0298401 
sample_592,1,-0.03675708 
sample_593,0.992008,-0.01673313 
sample_594,1,-0.02290363 
sample_595,1,-0.02522886 
sample_596,1,-0.02473933 
sample_597,0.991009,-0.01714918 
sample_598,1,-0.0240926 
sample_599,1,-0.04120246 
sample_600,0.989011,-0.01325222 
sample_601,1,-0.01762262 
sample_602,0.999001,-0.02842702 
sample_603,1,-0.03058419 
sample_604,0.999001,-0.0202026 
sample_605,0.999001,-0.02194353 
sample_606,1,-0.03344246 
sample_607,1,-0.02114095 
sample_608,1,-0.03727842 
sample_609,1,-0.03115209 
sample_610,1,-0.02362065 
sample_611,1,-0.03275308 
sample_612,1,-0.03126867 
sample_613,1,-0.03276222 
sample_614,1,-0.04186634 
sample_615,1,-0.02430763 
sample_616,1,-0.02820604 
sample_617,1,-0.01662419 
sample_618,1,-0.03212165 
sample_619,1,-0.02920452 
sample_620,1,-0.02225052 
sample_621,0.9390609,-0.009325216 
sample_622,0.996004,-0.01328365 
sample_623,1,-0.02502216 
sample_624,1,-0.03754967 
sample_625,1,-0.02135303 
sample_626,1,-0.04220552 
sample_627,1,-0.03565087 
sample_628,1,-0.03748369 
sample_629,1,-0.02666028 
sample_630,0.9040959,-0.00789266 
sample_631,1,-0.04494589 
sample_632,1,-0.04466008 
sample_633,1,-0.03587038 
sample_634,1,-0.02672281 
sample_635,1,-0.02539922 
