& al.	et al.
antitoxoplasma	antitoxoplasmal
almacantar	almucantar
audad	aoudad
Africanisation	Africanization
aurora-coloured	aurora-colored
amnionic	amniotic
anti-transsexual	antitranssexual
angpau	ang pow
arrow-root	arrowroot
antisemitic	anti-Semitic
air-mobile	airmobile
Antarian	Antarean
antinomical	antinomic
asmolder	asmoulder
aeromete	aerometer
aobao	ovoo
atom cocktail	atomic cocktail
amber grice	ambergris
achromocyte	achromacyte
adderstone	adder stone
antagonisation	antagonization
addable	addible
able-bodism	able-bodyism
alas and alack	alack and alas
authenticable	authenticatable
acre breadth	acre's breadth
anti-social	antisocial
argyll	argyle
Adonise	adonise
aboulic	abulic
ante-up	ante up
archie	Archie
a sharp	A-sharp
Adélie penguin	Adelie penguin
anaesthetisation	anesthetization
apple aphis	apple aphid
aerosolize	aerosolise
anticarcinogenic	anticarcinogen
abgoosht	abgusht
auroch	aurochs
average Joe	Joe Average
antilipidaemic	antilipidemic
armorsmithing	armoursmithing
agrize	agrise
assistor	assister
about face	about-face
alexipharmical	alexipharmic
ashiq	ashugh
all-caps	all caps
antiintellectualism	anti-intellectualism
anticentrist	anti-centrist}}
acratic	akratic
a'	a
apeek	apeak
Archimedes screw	Archimedes' screw
adoptianism	adoptionism
Angstrom	angstrom
ach-y-fi	ych a fi
acriflavin	acriflavine
arch-rival	archrival
antiinstitutionalism	anti-institutionalism
aliener	alienor
alkyloxy	alkoxy
atto-meter	attometre
attentate	attentat
ayurvedic	Ayurvedic
absinth	absinthe
anteriorally	anteriorly
arbalet	arbalest
after-game	aftergame
aft-most	aftmost
A. G. I.	AGI}}
affectible	affectable
autom	autem
A.U.S.A.	AUSA}}
acroanesthesia	acroanaesthesia
applesauce	apple sauce
antihelmintic	anthelmintic
anti-labor	antilabor
anagraphical	anagraphic
afterparty	after-party
acrokinesis	acrocinesia
armored train	armoured train
anti-Gentilism	antigentilism
all-comers	all comers
Afroasiatic	Afro-Asiatic
archaeomaterial	archeomaterial
air cushion vehicle	air-cushion vehicle
antenicene	ante-Nicene
African American	African-American
allergise	allergize
asterisc	asterisk
a ghrá	agra
ass backward	ass-backwards
afrite	ifrit
arthroseries	arthro-series}}
ABEND	abend
azur	azure
archin	arshin
amphisbenian	amphisbaenian
arpen	arpent
AWL	AWOL
autodialler	autodialer
allterrain	all-terrain
adpress	appress
adactyl	adactylous}}
agonisingly	agonizingly
age play	ageplay
adreno-cortical	adrenocortical
afficionado	aficionado
anti-elite	antielite
after-comer	aftercomer
amber griese	ambergris
antiavoidance	anti-avoidance
almadia	almadie
aetiopathology	etiopathology
Aaronical	Aaronic
allez oop	alley oop}}
Athapaskan	Athabascan
archeoastronomy	archaeastronomy
auto-da-fe	auto da fe
assessible	assessable
allosterical	allosteric
alleluiah	alleluia
amirna	amiRNA
Ahithophel	Ahitophel
Archean	Archaean
A 1	A1
anti-human	antihuman
as happy as a pig in mud	happy as a pig in shit
atteint	attaint
actinouranium	actino-uranium
artefact	artifact
axillar	axillary
av beth din	av beit din
asymptomatical	asymptomatic
acinesia	akinesia
arrach	orach
ar	arr
adoptor	adopter
angpow	ang pow
Accadian	Akkadian
arch-enemy	archenemy
air-pump	air pump
Achilles' tendon	Achilles tendon
alloverishness	all-overishness
anteriomedian	anteromedian
aëromancy	aeromancy
anti-Goyism	antigoyism
aiger	ague
acouchy	acouchi
Alkoranic	Alcoranic
allenerly	allenarly
airduct	air duct
ad hockery	ad hocery
anti-griddle	antigriddle}}
anti-Gentile	antigentile
afterdele	afterdeal
amartia	hamartia
astomous	astomatous
abelianised	abelianized
antiarmour	antiarmor
almeh	almah
akropolises	acropolises
artroom	art room
abetter	abettor
araqi	araki
akasha	akasa
ammoniotelic	ammonotelic
azophilic	azaphilic
aristocratisation	aristocratization
allochthone	allochthon
Achitophel	Ahitophel
asciify	ASCIIfy
amebicidal	amoebicidal
antibrachium	antebrachium
armourer	armorer
anti-pattern	antipattern
ALife	A-life}}
armored truck	armoured truck
ameba	amoeba
archaïc	archaic
ascar	ask
aeolipyle	aeolipile
approx	approx.
amoebaean	amoebean
axal	axial
antalkaline	antialkaline
alfileria	alfilaria
antiseborrhoeic	antiseborrheic
albitisation	albitization
aciclovir	acyclovir
alpha-taxonomy	alpha taxonomy
anemometrical	anemometric
alcapton	alkapton
aRNA	asRNA
assegaai	assegai
antihelminthic	anthelmintic
amortise	amortize
anchour	anchor
amour-propre	amour propre
akanje	akanye
abhiseka	abhisheka
aphorize	aphorise
acariosis	acariasis
arschin	arshine
anisokonia	aniseikonia
arbourisation	arborization
aumuce	amice
audio-visual	audiovisual
aesthenosphere	asthenosphere
autoredox	auto-redox
aspron	asper
agri-business	agribusiness
autonomasy	autonomasia
absorptometry	absorptiometry
arcuated	arcuate
acanthocephalid	acanthocephalan
ant-eater	anteater
attal	ettle
angekut	angekok
airgap	air gap
amphitheatral	amphitheatrical
alkaline-earth	alkaline earth
anhelose	anhelous
alcyon	halcyon
antisemite	anti-Semite
atar	attar
allergy salute	allergic salute
açaí	açai
alanin	alanine
antiparasitical	antiparasitic
agitatable	agitable
addressor	addresser
adenohypophyseal	adenohypophysial
alcoholise	alcoholize
assalamu alaykum	salaam alaikum
anfractuose	anfractuous
abridgeable	abridgable
allergisation	allergization
addition polymerisation	addition polymerization
almud	almude
acapella	a cappella
accentmark	accent mark
autopodal	autopodial
antilock	anti-lock
après ski	après-ski}}
audiocassette	audio cassette
AS level	AS-level
aelurophobia	ailurophobia
ajouan	ajwain
abaxile	abaxial
alcalescent	alkalescent
adjuror	adjurer
A−	A-
archmold	archmould
alapa	alap
a-ha	aha
alchemize	alchemise
ampul	ampulla
aetiopathogenesis	etiopathogenesis
astrocytical	astrocytic
ad-hocism	ad hocism
adiabatical	adiabatic
Apollinairean	Apollinairian
amarantine	amaranthine
application programme	application program
asspull	ass-pull
aboutsledge	about-sledge
all rounder	all-rounder
axotomise	axotomize
arselings	arseling
antihomosexualism	anti-homosexualism
arch rivalry	archrivalry
abannition	abannation
attitudinise	attitudinize
aamchur	amchur
Afro-Asiaticist	Afroasiaticist
abovenamed	above-named
ab Urbe condita	AUC
A-1	A1
affeard	affeared
anecdotum	anecdote
aboiteau	aboideau
archeology	archaeology
a little from column A and a little from column B	a little from column A, a little from column B
anachorite	anchorite
amylophagy	amylophagia
analbuminemic	analbuminaemic
asscrack	ass crack
azimuthial	azimuthal
aggrandisement	aggrandizement
alter-ego	alter ego
apophthegm	apothegm
aneurism	aneurysm
anti-abortionist	antiabortionist
amitryptiline	amitriptyline
antibrown	anti-brown
ad-hoc	ad hoc
anti-space	antispace}}
audio tape	audiotape
alloesthesia	allesthesia
adstringent	astringent
aficionada	aficionado
alined	aligned
autochtonous	autochthonous
arm'd	armed
awe-stricken	awestricken
anyone who is anyone	anybody who is anybody
aitch-bone	aitchbone
adjutage	ajutage
appletree	apple tree
alisanders	alexanders
authoriser	authorizer
ajika	adjika
aide-memoire	aide-mémoire
auto-da-fé	auto da fe
araçari	aracari
ale-houses	alehouses
anti-transgender	antitransgender
agonising	agonizing
Afro	afro
attagal	attagirl
anyu	añu
Australian pitcher plant	Western Australian pitcher plant
all-fours	all fours
azym	azyme
appetiser	appetizer
anapleurotic	anaplerotic
a-burton	aburton
anti-gentileism	anti-Gentilism
air conditioning	air-conditioning
absitively posilutely	absitively posolutely
analyzand	analysand
Abotrite	Obotrite
alphadolone	alfadolone
Adonize	adonise
araphostic	araphorostic
antistrange	anti-strange
autom cove	autem cove
anachoret	anchorite
all-overness	alloverness
ambergrece	ambergris
antichip	anti-chip
allylchloride	allyl chloride
airtanker	air tanker
amasake	amazake
addle-pated	addlepated
agapetae	Agapetae
akvavit	aquavit
albumenise	albumenize
amber griece	ambergris
achee	akee
amphisbenic	amphisbaenic
asymmetrical meter	asymmetric meter
anti-socialism	antisocialism
alphameric	alphanumeric
anti-realism	antirealism
autotune	auto-tune
ataunto	ataunt
artistic license	artistic licence
akene	achene
A-OK	A-okay
adhocness	ad hocness
above ground	aboveground
antilapse	anti-lapse
ad hocrat	adhocrat
amber-grese	ambergris
amphecloral	amfecloral
agouty	agouti
appliqué	applique
adj	adj.
anapaestic	anapestic
albane	alban
abbatical	abbatial
Antisthenian	Antisthenean
airshed	air shed
alkalotolerant	alkalitolerant
as if one's life depends on it	like one's life depended on it
aubrieta	aubrietia
anti-depressant	antidepressant
algaesthesis	algesthesis
ay oop	hey up
airconditioning	air conditioning
airforce	air force
athenaeum	Athenaeum
aglet	aiglet
adonize	adonise
archeophyte	archaeophyte
anti-infection	antiinfection
acathisia	akathisia
alongshoreman	longshoreman
adultress	adulteress
autochoric	autochorous
azederach	azedarach
alt right	alt-right
alhamdullilah	alhamdulillah
asap	ASAP
alloxanised	alloxanized
antem	ant'em
Aotearoaian	Aotearoan
asepticise	asepticize
annotto	annatto
authorised	authorized
Asmonean	Hasmonean
aphysiologic	aphysiological
antiflash	anti-flash
anaesthesiological	anesthesiological
African Time	African time
autoshuffle	auto-shuffle
acescency	acescence
aneurismatic	aneurysmatic
aphorizer	aphoriser
Allah akbar	Allahu akbar
anti-fascist	antifascist
analingus	anilingus
Akhwan	Ikhwan
Abram man	Abraham man
aviraemic	aviremic
A list	A-list
appretiate	appreciate
allez-up	alley oop}}
adjustor	adjuster
albuminizer	albumenizer
andesyte	andesite
ambergriece	ambergris
anaesthetically	anesthetically
anti-socialist	antisocialist
autum cove	autem cove
araq	arak
amber-greace	ambergris
asrna	asRNA
air-brush	airbrush
albuminize	albumenize
awooga	aooga
axestone	axstone
apple-like	applelike}}
ande	onde
anti-gentilism	anti-Gentilism
absotively posolutely	absitively posolutely
at-large	at large
anourous	anurous
addressible	addressable
a-flat	A-flat
aesthesioneuroblastoma	esthesioneuroblastoma
anekāntavāda	anekantavada
anti-static	antistatic
auto da fé	auto da fe
achaenium	achenium
anti-trans	antitrans
angel fish	angelfish
anti-matter	antimatter
airlock	air lock
arm pit	armpit
after-potential	afterpotential
absent voter	absentee voter
arhythmia	arrhythmia
atelectatrauma	atelectrauma
adiadochocinesia	adiadochokinesia
abye	aby
acaroid gum	acaroid resin
abeyya	abaya
anisoeikonia	aniseikonia
antiimmigration	anti-immigration
animater	animator
atlantoccipital	atlantooccipital
alinement	alignment
annoy'd	annoyed
arytaenoid	arytenoid
anybody who's anyone	anybody who is anybody
alloploidisation	alloploidization
archeologist	archaeologist
analbuminemia	analbuminaemia
atamasco lily	Atamasco lily
analogise	analogize
allosensitisation	allosensitization
apple-john	applejohn
aetiopathogenetic	etiopathogenetic
Abbott-Miller tube	Miller-Abbot tube
asphalte	asphalt
Arianize	Aryanize
apple of love	love apple
air freight	airfreight
after-grass	aftergrass
adelopodes	adelopods
aetiological	etiological
ant lion	antlion
aunty	auntie
antrograde	anterograde
amirite	am I right
anti-immigrant	antiimmigrant
A.K.A.	AKA
antimitochondria	antimitochondrial
albolite	albolith
adaptionist	adaptationist
alkalise	alkalize
aethalic	ethalic
absis	apsis
awe-struck	awestruck
alepine	alépine
after-school	afterschool
anti-gravitically	antigravitically}}
argie-bargie	argy-bargy
air-duct	air duct
annexe	annex
after-life	afterlife
alcoholometrical	alcoholometric
anti-virus	antivirus
athermous	athermanous
aroura	arura
attaghan	yataghan
amebiasis	amoebiasis
arquifoux	alquifou
aired out	aired-out
alveogenesis	alveologenesis
automise	automize}}
anaesthetize	anesthetize
alveolisation	alveolization
aoogah	aooga
amyloblast	ameloblast
adlib	ad lib
atropoisomeric	atropisomeric
alferez	alférez
A-level	A level
antidiarrhoeal	antidiarrheal
abas	abbasi
amirspasalari	amirspasalar
aavakaya	aavakaaya
antigenaemic	antigenemic
amyloid-beta	amyloid beta
automatise	automatize}}
anisotropism	anisotropy
axoplasmal	axoplasmic
anaphylotoxin	anaphylatoxin
anti-crystals	anticrystals}}
antidromical	antidromic
as we speak	even as we speak
arabinofuran	arabinofuranose
anergia	anergy
aegir	eagre
athan	azan
anhypostasis	anhypostasia
antipredatorial	antipredatory
aeon	eon
archaeus	archeus
antidyslipidaemic	antidyslipidemic
acneiform	acneform
academism	academicism
apprizing	apprising
alidad	alidade
anapaest	anapest
aesculin	esculin
A-game	A game
aleuron	aleurone
antimonous	antimonious
aberduvine	aberdevine
automatisation	automatization
acocantherin	acokantherin
after-years	afteryears
abacter	abactor
ar'n't	ain't}}
adjectival phrase	adjective phrase
arm wrestler	arm-wrestler
ajamoda	ajmoda
age of judgement	age of judgment
afrodescendant	Afrodescendant
alternative universe	alternate universe
Americanian	American
a-row	arow
A-roll	A roll}}
ad-hocrats	adhocrats
agammaglobulinaemic	agammaglobulinemic
