BASc	Bachelor of Applied Science
bedded out	bed out
bowling	bowl
blacktops	blacktop
buffetting	buffet
bursting	burst
brisking	brisk
boosie	boosies
boning up	bone up
blowzier	blowzy
bouyant	buoyant
brags	brag
blu	blue
beatedst	beat
belecturing	belecture
bronzifying	bronzify
bln	billion
bore in with	bear in with
blk	black
bordering	border
bouning	boun
burstin'	bursting
Braille	braille
brought to justice	bring to justice
bumps	bump
blurted out	blurt out
bay-beh	baby
bulleted	bullet
bassa	bashaw
benching	bench
braaied	braai
blissening	blissen
bougier	bougie
backbending	backbend
blanke	blank
bar mitzvahs	bar mitzvah
boddice	bodice
balthazar	Balthazar
betrusts	betrust
boking	boke
buckrams	buckram
beaute	beauty
beautifool	beautiful
barnacling	barnacle
bedaubed	bedaub
baaing	baa
bunded	bund
begotten	beget
bendier	bendy
bedrabbles	bedrabble
bracketed	bracket
Britifies	Britify
Balt.	Baltimore
besprent	besprenge
bugbeared	bugbear
bars out	bar out
bruised up	bruise up
bulwarking	bulwark
baksheeshed	baksheesh
backstabs	backstab
buries	bury
buying wolf tickets	buy wolf tickets
Britishized	Britishize
bourgeoning	bourgeon
bioinvaded	bioinvade
bootblacking	bootblack
buried	bury
Britified	Britify
Britishizes	Britishize
betops	betop
biotinylates	biotinylate
befettered	befetter
BOTD	benefit of the doubt
boots out	boot out
beglooms	begloom
becudgeling	becudgel
blinding	blind
blubbers	blubber
BTEX	benzene, toluene, ethylbenzene, and ortho-, meta-, and para- xylenes
booleanizes	booleanize
balc'ny	balcony
buffer	buff
B-NICE	biological, nuclear / radiological, incendiary, chemical, and explosive agents
booleanized	booleanize
bashes the bishop	bash the bishop
BTEC	w:Business and Technology Education Council
barristas	baristas
brownshirt	Brownshirt
bade	bid
butchered	butcher
buriest	bury
bacchanalian	Bacchanalian
brattles	brattle
babbled	babble
bewaileth	bewail
buying into	buy into
brattled	brattle
Bates numbers	Bates number
babbles	babble
blingier	blingy
Balkanizes	Balkanize
brothuh	brother
blinde	blind
brutified	brutify
beclogs	beclog
Balkanized	Balkanize
bouching	bouche
bigged up	big up
blinds	blind
Byzantinizing	Byzantinize
belabouring	belabour
boggest	bog
blanketing	blanket
bestialised	bestialise
batting away	bat away
burglarizing	burglarize
bestialises	bestialise
bepuzzling	bepuzzle
buttled	buttle
breaks bad	break bad
beseeming	beseem
bombs	bomb
brusquer	brusque
buttles	buttle
bettest	bet
backsources	backsource
behoves	behove
backsourced	backsource
befies	befie
buffeting	buffet
behoved	behove
bringing home	bring home
bugles	bulge
bustin'	busting
bugled	bugle
bewilling	bewill
bepuffs	bepuff
bastinadoed	bastinado
benetted	benet
bastinadoes	bastinado
bankr.	bankruptcy
busting	bust
bedipped	bedip
benzbromorone	benzbromarone
besieging	besiege
breaking in	break in
bemads	bemad
bejanking	bejank
bedripped	bedrip
becudgels	becudgel
balcon	balcony
boad	bode
bewards	beward
bethanks	bethank
bomboora	bombora
brushes aside	brush aside
booby-trapped	boobytrap
bravened	braven
bekisses	bekiss
booms	boom
blondening	blonden
brainwashing	brainwash
braving	brave
befilms	befilm
blackmails	blackmail
bekissed	bekiss
backlighted	backlight
beblinding	beblind
backchanneled	backchannel
bequeaths	bequeath
bewins	bewin
breyde	braid
beworries	beworry
brushes by	brush by
befittest	befit
bowest	bow
bedrugging	bedrug
bridging	bridge
blizzarding	blizzard
burbling	burble
brilliantining	brilliantine
Britifying	Britify
begathers	begather
burthensome	burdensome
builds on	build on
bioneutralizing	bioneutralize
barbed	barb
bepurpled	bepurple
beducked	beduck
bauchling	bauchle
boosted	boost
brassed	brass
